old_stem,new_stem
normal_3_18_26_lte_4,lte_commercial_45005_2026_03_18_4
normal_3_18_26_lte_5,lte_commercial_45005_2026_03_18_5
normal_3_18_26_lte_6,lte_commercial_45005_2026_03_18_6
normal_3_18_26_lte_7,lte_commercial_45005_2026_03_18_7
normal_3_18_26_lte_8,lte_commercial_45005_2026_03_18_8
normal_3_18_26_lte_9,lte_commercial_45005_2026_03_18_9
normal_5g_session_72,5g_test_00101_5gsession72
normal_data,lte_test_00101_data
normal_data10,lte_commercial_45005_data10
normal_data11,lte_commercial_45005_data11
normal_data12,lte_commercial_45005_data12
normal_data13,lte_commercial_45005_data13
normal_data2,lte_test_00101_data2
normal_data3,lte_test_00101_data3
normal_data4,lte_test_00101_data4
normal_data5,lte_test_00101_data5
normal_data6,lte_test_00101_data6
normal_data7,lte_test_00101_data7
normal_data8,lte_commercial_45005_data8
normal_data9,lte_commercial_45005_data9
normal_mixed1,5g_test_00101_mixed1
normal_mixed10,5g_test_00101_mixed10
normal_mixed11,5g_test_00101_mixed11
normal_mixed12,5g_test_00101_mixed12
normal_mixed13,5g_test_00101_mixed13
normal_mixed14,5g_test_00101_mixed14
normal_mixed15,5g_test_00101_mixed15
normal_mixed16,5g_test_00101_mixed16
normal_mixed17,5g_commercial_45008_mixed17
normal_mixed18,5g_test_00101_mixed18
normal_mixed2,5g_test_00101_mixed2
normal_mixed3,lte_commercial_45005_mixed3
normal_mixed4,lte_commercial_45005_mixed4
normal_mixed5,lte_commercial_45005_mixed5
normal_mixed6,5g_test_00101_mixed6
normal_mixed7,lte_commercial_45005_mixed7
normal_mixed8,lte_commercial_45005_mixed8
normal_mixed9,5g_test_00101_mixed9
normal_udp_streaming1,lte_commercial_45005_udpstreaming1
normal_udp_streaming2,5g_test_00101_udpstreaming2
normal_udp_streaming3,5g_test_00101_udpstreaming3
normal_udp_streaming4,5g_test_00101_udpstreaming4
normal_udp_streaming5,5g_test_00101_udpstreaming5
normal_udp_streaming6,5g_test_00101_udpstreaming6
normal_udp_streaming7,5g_test_00101_udpstreaming7
normal_voltecall1,5g_test_00101_voltecall1
normal_voltecall2,5g_test_00101_voltecall2
normal_voltecall3,5g_test_00101_voltecall3
normal_voltecall4,5g_test_00101_voltecall4
